ID,Catalog Number,Collectors,Collector Number,Start Date,Start Date Precision,Pais,Provincia,Distrito ou Municipio,Locality Name,Latitude1,Longitude1,Collection,Determiner,Kingdom,phylum,class,order,family,genus,Full Name,Species Author,subspecies Author,variety Author
1,LISC032455,A.R.Torre,5584,25/06/1943,1,Mozambique,Zambezia,Ile,"Ile, montes de Ile.",-16.024167,37.206111,Herbário,A.W.Exell,Plantae,Tracheophyta,Magnoliopsida,Ranunculales,Ranunculaceae,Clematis,Clematis brachiata,Thunb.,,
2,LISC032452,A.R.Torre,597,31/07/1934,1,Mozambique,Niassa,Mandimba,"Amaramba, Mandimba",-14.3520671,35.6525673,Herbário,A.W.Exell,Plantae,Tracheophyta,Magnoliopsida,Ranunculales,Ranunculaceae,Clematis,Clematis brachiata,Thunb.,,
3,LISC032453,A.R.Torre,5143,09/04/1943,1,Mozambique,Zambezia,Gúruè,"Gúruè, serra de Gúruè, base do pico Namuli",-15.374166,37.040556,Herbário,A.W.Exell,Plantae,Tracheophyta,Magnoliopsida,Ranunculales,Ranunculaceae,Clematis,Clematis brachiata,Thunb.,,
4,LISC015241,F.A.Mendonça,1113,29/10/1942,1,Mozambique,C.Delgado,Mecúfi,Entre Mecufi e o Lúrio,-13.358184,40.543113,Herbário,F.A.Mendonça,Plantae,Tracheophyta,Magnoliopsida,Brassicales,Cleomaceae,Gynandropsis,Gynandropsis gynandra,(L.) Briq.,,
5,LISC015243,F.A.Mendonça,3837,01/03/1948,1,Mozambique,Sofala,Nhamatanda,"Vila Machado, arredores de Lamego",-19.3188887,34.2852745,Herbário,F.A.Mendonça,Plantae,Tracheophyta,Magnoliopsida,Brassicales,Cleomaceae,Gynandropsis,Gynandropsis gynandra,(L.) Briq.,,
6,LISC015244,F.A.Mendonça,4457,07/06/1948,1,Mozambique,Sofala,Nhamatanda,"Vila Machado (Dondo), arredores da estação",-19.274636,34.210247,Herbário,,Plantae,Tracheophyta,Magnoliopsida,Brassicales,Cleomaceae,Gynandropsis,Gynandropsis gynandra,(L.) Briq.,,
7,LISC015245,A.R.Torre,2422,14/12/1940,1,Mozambique,Gaza,Cidade de Xai-Xai,Vila de João Belo,-25.0519438,33.6441689,Herbário,A.R.Torre,Plantae,Tracheophyta,Magnoliopsida,Brassicales,Cleomaceae,Gynandropsis,Gynandropsis gynandra,(L.) Briq.,,
8,LISC015246,A.R.Torre,2422,14/12/1940,1,Mozambique,Gaza,Cidade de Xai-Xai,Vila de João Belo,-25.0519438,33.6441689,Herbário,A.R.Torre,Plantae,Tracheophyta,Magnoliopsida,Brassicales,Cleomaceae,Gynandropsis,Gynandropsis gynandra,(L.) Briq.,,
9,LISC032454,A.R. Torre,5143,09/04/1943,1,Mozambique,Zambezia,Gúruè,"Serra do Gúruè, prox. do pico Namuli",-15.374166,37.040556,Herbário,E.J.Mendes,Plantae,Tracheophyta,Magnoliopsida,Ranunculales,Ranunculaceae,Clematis,Clematis brachiata,Thunb.,,
10,LISC032457,J.G.Garcia,896,05/04/1948,1,Mozambique,Manica,Manica,"Chimoio, Serra de Garuso",-18.9450006,33.1511078,Herbário,E.J.Mendes,Plantae,Tracheophyta,Magnoliopsida,Ranunculales,Ranunculaceae,Clematis,Clematis brachiata,Thunb.,,
11,LISC032458,J.G.Garcia,896,05/04/1948,1,Mozambique,Manica,Manica,"Chimoio, Serra de Garuso",-18.9450006,33.1511078,Herbário,A.W.Exell,Plantae,Tracheophyta,Magnoliopsida,Ranunculales,Ranunculaceae,Clematis,Clematis brachiata,Thunb.,,
12,LISC032459,A.R.Torre,6788,20/07/1944,1,Mozambique,Gaza,,Entre Vila João Belo e Chibuto,-24.863816,33.584353,Herbário,A.R.Torre,Plantae,Tracheophyta,Magnoliopsida,Ranunculales,Ranunculaceae,Clematis,Clematis grata,Wall.,,
13,LISC032460,A.R.Torre,6788,20/07/1944,1,Mozambique,Gaza,,Entre Vila João Belo e Chibuto,-24.863816,33.584353,Herbário,A.R.Torre,Plantae,Tracheophyta,Magnoliopsida,Ranunculales,Ranunculaceae,Clematis,Clematis grata,Wall.,,
14,LISC032461,A.R.Torre,5739,31/07/1943,1,Moçambique,Zambezia,Maganja da Costa,Maganja da Costa,-17.311111,37.514722,Herbário,A.W.Exell,Plantae,Tracheophyta,Magnoliopsida,Ranunculales,Ranunculaceae,Clematis,Clematis viridiflora,Bertol.,,
15,LISC032462,A.R.Torre,5739,31/07/1943,1,Moçambique,Zambezia,Maganja da Costa,Maganja da Costa,-17.311111,37.514722,Herbário,E.J.Mendes,Plantae,Tracheophyta,Magnoliopsida,Ranunculales,Ranunculaceae,Clematis,Clematis viridiflora,Bertol.,,
